Article Number,Title,Status,File Path,Meta Title,Meta Description,H1 Headline,Internal Links (from this article),Internal Links (to this article),Date Completed,Word Count
11,Kohlenhydrat-Aufnahme beim Laufen: Die härteste Disziplin fürs Verdauungssystem,completed,articles/article-11-kohlenhydrat-aufnahme-beim-laufen.md,Laufen GI-Distress | Marathon Kohlenhydrate,"Impact-Belastung macht Laufen zur härtesten Disziplin. 60-80g/h realistisch. Angepasste Strategien für Marathon & Ultra.",Kohlenhydrat-Aufnahme beim Laufen: Die härteste Disziplin fürs Verdauungssystem,"10, 12, 8, 13, 4","-",2025-12-20,1050
12,Triathlon-Nutrition: Warum dein Darm drei verschiedene Strategien braucht,completed,articles/article-12-triathlon-nutrition.md,Triathlon Nutrition 3 Disziplinen | 70-30-Regel,"70% Energie auf Rad, 30% beim Laufen. Drei Disziplinen brauchen drei Strategien. Triathlon-spezifisches Gut-Training.",Triathlon-Nutrition: Warum dein Darm drei verschiedene Strategien braucht,"10, 11, 8, 13, 6","-",2025-12-20,1180
13,Dein 12-Wochen-Protokoll: So trainierst du deinen Darm systematisch,completed,articles/article-13-dein-12-wochen-protokoll.md,12-Wochen Gut-Training Protokoll | Darm trainieren,"Von 40g auf 90g+ in 12 Wochen. Strukturierter Wochenplan mit Monitoring. Der komplette Leitfaden für systematisches Gut-Training.",Dein 12-Wochen-Protokoll: So trainierst du deinen Darm systematisch,"1, 14, 15","-",2025-12-20,1250
14,Gut-Training im Grundlagenblock: Die unterschätzte Off-Season-Maßnahme,completed,articles/article-14-gut-training-im-grundlagenblock.md,Off-Season Gut-Training | Grundlagenblock optimal,"Grundlagenblock = ideale Zeit für Gut-Training. Niedrige Intensität, lange Einheiten. 12-16 Wochen vor A-Race starten.",Gut-Training im Grundlagenblock: Die unterschätzte Off-Season-Maßnahme,"13, 15, 1","-",2025-12-20,1080
15,Von der Theorie zur Praxis: Dein erster High-Carb-Training-Ride,completed,articles/article-15-von-der-theorie-zur-praxis.md,Erste Gut-Training Session | Praktische Anleitung,"Schritt-für-Schritt: Deine erste High-Carb-Einheit. Was du brauchst, was dich erwartet, häufige Anfänger-Fehler vermeiden.",Von der Theorie zur Praxis: Dein erster High-Carb-Training-Ride,"13, 14, 4","-",2025-12-20,1150
16,Gut-Training vs. Keto-Adaptation: Zwei gegensätzliche Strategien ein Ziel,completed,articles/article-16-gut-training-vs-keto-adaptation.md,Keto vs High-Carb Ausdauersport | Evidenz,"Keto oder High-Carb? Kommt auf Ziele an. Evidenzbasierter Vergleich ohne Dogmatismus. Train-Low, Compete-High als hybrider Ansatz.",Gut-Training vs. Keto-Adaptation: Zwei gegensätzliche Strategien ein Ziel,"17, 18, 19, 1, 13","-",2025-12-20,1050
17,Supplements vs. Darm-Training: Was bringt wirklich mehr Performance?,completed,articles/article-17-supplements-vs-darm-training.md,Supplements ROI Ausdauersport | Gut-Training Vergleich,"Gut-Training: 0€, 8 Min. Supplements: 400€, 10 Min. ROI-Vergleich zeigt: Training schlägt Pillen. Evidenzbasierte Priorisierung.",Supplements vs. Darm-Training: Was bringt wirklich mehr Performance?,"16, 18, 7, 13, 1","-",2025-12-20,1000
18,Fasted Training vs. High-Carb-Training: Was trainiert was?,completed,articles/article-18-fasted-training-vs-high-carb-training.md,Fasted vs High-Carb Training | Train-Low Compete-High,"Fasted = Fat-Oxidation. High-Carb = Absorption. Beide trainieren, komplementär nutzen. Train-Low, Compete-High Periodisierung.",Fasted Training vs. High-Carb-Training: Was trainiert was?,"16, 17, 27, 13, 6","-",2025-12-20,1000
19,Warum 8 Wochen? Die Zeitachse der intestinalen Adaptation,completed,articles/article-19-warum-8-wochen.md,8 Wochen Gut-Training Dauer | Zeitachse Adaptation,"Enterocyte-Turnover 3-5 Tage, aber Transporter-Upregulation braucht 6-8 Wochen. Biologische Grundlage der Zeitachse erklärt.",Warum 8 Wochen? Die Zeitachse der intestinalen Adaptation,"20, 24, 26, 2, 13","-",2025-12-20,1050
20,Dein Darm als trainierbares Organ: Adaptation jenseits von Muskeln und Lunge,completed,articles/article-20-dein-darm-als-trainierbares-organ.md,Darm trainierbar wie Muskel | Systemisches Training,"Darm erfüllt alle Kriterien trainierbarer Organe. Größeres Steigerungspotenzial als Lunge. Meta-Perspektive ganzheitlichen Trainings.",Dein Darm als trainierbares Organ: Adaptation jenseits von Muskeln und Lunge,"19, 24, 21, 1, 13","-",2025-12-20,950
21,Gut-Training-Protokolle: Konservativ vs. Aggressiv – welcher Ansatz passt zu dir?,completed,articles/article-21-gut-training-protokolle-konservativ-vs-aggressiv.md,Gut-Training Protokoll Varianten | Individualisierung,"12 Wochen Standard, 4-6 Wochen aggressiv, 16 Wochen konservativ. Entscheidungskriterien: Trainingsalter, GI-Sensibilität, Zeitrahmen.",Gut-Training-Protokolle: Konservativ vs. Aggressiv – welcher Ansatz passt zu dir?,"22, 23, 28, 13, 8","-",2025-12-20,1050
22,Die 5 häufigsten Fehler beim Gut-Training – und wie du sie vermeidest,completed,articles/article-22-die-5-haeufigsten-fehler-beim-gut-training.md,Gut-Training Fehler vermeiden | Troubleshooting,"Zu schnell, falsche Intensität, Inkonsistenz, falscher Zeitpunkt, Warnsignale ignorieren. Die 5 häufigsten Fehler und konkrete Lösungen.",Die 5 häufigsten Fehler beim Gut-Training – und wie du sie vermeidest,"21, 23, 28, 13, 4","-",2025-12-20,1050
23,Gut-Training periodisieren: Wann wie lange und wie oft wiederholen?,completed,articles/article-23-gut-training-periodisieren.md,Gut-Training Periodisierung | Makrozyklus Integration,"12-16 Wochen vor A-Race starten. 1x/Woche Erhaltung. Reversibilität 4-6 Wochen. Ganzjährige Saison-Struktur mit Beispielen.",Gut-Training periodisieren: Wann wie lange und wie oft wiederholen?,"21, 22, 14, 13, 18","-",2025-12-20,1080
24,Was passiert wirklich nach 8 Wochen Gut-Training? Zelluläre Veränderungen erklärt,completed,articles/article-24-was-passiert-wirklich-nach-8-wochen.md,Zelluläre Veränderungen Gut-Training | Molekular,"Enterocyte-Turnover, SGLT1-Expression +40%, Villus-Höhe +18%. Was auf zellulärer Ebene nach 8 Wochen Gut-Training passiert.",Was passiert wirklich nach 8 Wochen Gut-Training? Zelluläre Veränderungen erklärt,"25, 26, 19, 19, 2","-",2025-12-20,1100
25,Gut-Training und die Mikrobiom-Frage: Welche Rolle spielen Darmbakterien?,completed,articles/article-25-gut-training-und-die-mikrobiom-frage.md,Mikrobiom Gut-Training | Probiotika notwendig?,"Transporter > Mikrobiom. Probiotika reduzieren GI-Distress 10-20%, aber erhöhen nicht Absorptionskapazität. Fokus auf Training, nicht Hype.",Gut-Training und die Mikrobiom-Frage: Welche Rolle spielen Darmbakterien?,"24, 26, 17, 19, 2","-",2025-12-20,1050
26,Individuelle Response beim Gut-Training: Warum manche schneller adaptieren,completed,articles/article-26-individuelle-response-beim-gut-training.md,Individuelle Response Gut-Training | Genetik,"Variabilität 2-3x. Genetik, Trainingshistorie, Alter, metabolische Flexibilität. 20% schnell, 60% standard, 20% langsam. Alle adaptieren.",Individuelle Response beim Gut-Training: Warum manche schneller adaptieren,"24, 25, 21, 19, 8","-",2025-12-20,1000
27,Gut-Training in der Praxis: Die optimale Trainingsintensität für maximale Adaptation,completed,articles/article-27-gut-training-in-der-praxis-optimale-intensitaet.md,Optimale Intensität Gut-Training | Zone 2,"Zone 2 (60-75% HFmax) = Sweet-Spot. Moderate Sympathikus-Aktivierung, gute Durchblutung. Zone 5 kontraproduktiv.",Gut-Training in der Praxis: Die optimale Trainingsintensität für maximale Adaptation,"28, 29, 22, 6, 18","-",2025-12-20,1050
28,Troubleshooting Gut-Training: Wenn die Progression stagniert,completed,articles/article-28-troubleshooting-gut-training-plateau.md,Gut-Training Plateau überwinden | Troubleshooting,"Plateau-Phasen normal (Wo 3-4, 6-7, 9-10). Deload-Strategie, Intensität checken, Pause. Unterscheidung Plateau vs. pathologische Intoleranz.",Troubleshooting Gut-Training: Wenn die Progression stagniert,"27, 29, 22, 13, 21","-",2025-12-20,1050
29,Fortgeschrittene Gut-Training-Strategien: 120g+ und sport-spezifische Anpassungen,completed,articles/article-29-fortgeschrittene-gut-training-strategien.md,Elite Gut-Training 120g+ | Fortgeschritten,"140g+ für Elite-Radfahrer. Heat Acclimation-Synergie. Diminishing Returns ab 110g. Für 95% reichen 100g.",Fortgeschrittene Gut-Training-Strategien: 120g+ und sport-spezifische Anpassungen,"27, 28, 30, 8, 10","-",2025-12-20,1100
30,Gut-Training-Erfolg messen: Subjektive und objektive Marker,completed,articles/article-30-gut-training-erfolg-messen.md,Gut-Training Erfolg messen | Tracking Monitoring,"Toleranz-Kapazität, GI-Distress-Score, Performance-Marker. Trainingstagebuch, Custom Metrics. Laborwerte unnötig.",Gut-Training-Erfolg messen: Subjektive und objektive Marker,"29, 28, 21, 13, 7","-",2025-12-20,1080

